D,fcy,Ac,As,αsc,Nu0,C,Ns,Vs,Vc,N
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,1669128.17685226,12614876.8049306,2029.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,1669128.17685226,12614876.8049306,2107.0
121.0,40.28,7389.81131940659,4109.20319089545,0.556063343607185,1505.76733806896,380.132711084365,1208.10573812326,2054601.59544772,3694905.6597033,2587.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,885143.730148925,6689707.3965541,1784.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,885143.730148925,6689707.3965541,2038.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,1264491.04306989,9556724.85222015,1999.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,1264491.04306989,9556724.85222015,2043.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,1669128.17685226,12614876.8049306,1975.0
320.0,46.57,73541.5424278835,6883.22950401524,0.0935964799863301,5144.94868391994,1005.30964914873,1720.11905305341,1789639.67104396,19120801.0312497,7909.0
320.0,46.57,73541.5424278835,6883.22950401524,0.0935964799863301,5144.94868391994,1005.30964914873,1720.11905305341,3028620.9817667,32358278.6682687,5900.0
320.0,46.57,73541.5424278835,6883.22950401524,0.0935964799863301,5144.94868391994,1005.30964914873,1720.11905305341,3579279.34208792,38241602.0624994,5890.0
320.0,46.57,73541.5424278835,6883.22950401524,0.0935964799863301,5144.94868391994,1005.30964914873,1720.11905305341,3579279.34208792,38241602.0624994,6380.0
133.0,106.02,12468.9812420979,1423.92687023957,0.114197530864197,1823.18364961155,417.831822927442,501.22225832433,662125.994661401,5798076.27757552,1995.0
133.0,106.02,12468.9812420979,1423.92687023957,0.114197530864197,1823.18364961155,417.831822927442,501.22225832433,662125.994661401,5798076.27757552,1991.0
133.0,106.02,12468.9812420979,1423.92687023957,0.114197530864197,1823.18364961155,417.831822927442,501.22225832433,662125.994661401,5798076.27757552,1962.0
133.0,106.02,11998.4963262963,1894.41178604118,0.157887433101874,1938.91352920043,417.831822927442,666.832948686496,880901.480509149,5579300.79172777,2273.0
133.0,106.02,11998.4963262963,1894.41178604118,0.157887433101874,1938.91352920043,417.831822927442,666.832948686496,880901.480509149,5579300.79172777,2158.0
133.0,106.02,11998.4963262963,1894.41178604118,0.157887433101874,1938.91352920043,417.831822927442,666.832948686496,880901.480509149,5579300.79172777,2253.0
127.0,106.02,10028.749148422,2638.93782901543,0.263137285613595,2195.35231336332,398.982267005904,1132.10432864762,1174327.33391186,4462793.3710478,3404.0
127.0,106.02,10028.749148422,2638.93782901543,0.263137285613595,2195.35231336332,398.982267005904,1132.10432864762,1174327.33391186,4462793.3710478,3370.0
127.0,106.02,10028.749148422,2638.93782901543,0.263137285613595,2195.35231336332,398.982267005904,1132.10432864762,1174327.33391186,4462793.3710478,3364.0
100.0,45.77,7088.21842466197,765.763209312512,0.10803324099723,656.156379570959,314.159265358979,331.72862227418,229728.962793754,2126465.52739859,828.0
100.0,34.85,7088.21842466197,765.763209312512,0.10803324099723,433.870635171723,314.159265358979,186.846223072253,229728.962793754,2126465.52739859,670.0
100.0,34.85,7238.22947387088,615.7521601036,0.0850694444444445,397.69295738087,314.159265358979,145.44066021647,184725.64803108,2171468.84216127,537.0
92.0,23.37,5808.80481648753,838.805238508475,0.144402379664684,354.428294240473,289.026524130261,218.676525679159,231510.245828339,1603230.12935056,538.0
108.0,41.17,7853.98163397448,1306.90254389335,0.1664,757.240068443323,339.292006587698,433.891644572593,423436.424221446,2544690.04940773,970.0
100.0,48.35,7088.21842466197,765.763209312512,0.10803324099723,674.443983106587,314.159265358979,331.72862227418,229728.962793754,2126465.52739859,828.0
100.0,36.19,7088.21842466197,765.763209312512,0.10803324099723,443.36884786077,314.159265358979,186.846223072253,229728.962793754,2126465.52739859,670.0
100.0,36.19,7238.22947387088,615.7521601036,0.0850694444444445,407.392184875857,314.159265358979,145.44066021647,184725.64803108,2171468.84216127,537.0
153.0,21.54,16879.4317525461,1505.95385442481,0.0892182791756394,986.445474139942,480.663675999238,622.8625141901,484917.141124788,5435177.02431983,1191.0
76.5,24.37,4196.86147991224,399.484921830479,0.0951865873445108,246.731261999362,240.331837999619,144.453747733901,61121.1930400633,642119.806426572,344.0
300.0,9.9,67886.6756514218,2799.15905434851,0.0412328196584757,1440.16733346231,942.477796076938,768.08924451323,2799159.05434851,67886675.6514218,2636.0
300.0,28.72,67886.6756514218,2799.15905434851,0.0412328196584757,2717.79456922207,942.477796076938,768.08924451323,2799159.05434851,67886675.6514218,3420.0
300.0,24.12,67886.6756514218,2799.15905434851,0.0412328196584757,2384.52216831791,942.477796076938,747.095551605616,2799159.05434851,67886675.6514218,3038.0
92.0,20.71,5808.80481648753,838.805238508475,0.144402379664684,338.976873428616,289.026524130261,218.676525679159,231510.245828339,1603230.12935056,538.0
108.0,20.22,7697.68739945839,1463.19677840945,0.190082644628099,535.639442569982,339.292006587698,379.992203352933,474075.75620466,2494050.71742452,931.0
108.0,39.23,7853.98163397448,1306.90254389335,0.1664,742.003344073412,339.292006587698,433.891644572593,423436.424221446,2544690.04940773,970.0
108.0,20.54,7791.27544460883,1369.60873325901,0.175787487298592,515.720185659629,339.292006587698,355.687388027364,443753.229575918,2524373.24405326,916.0
101.6,23.2,7169.02929833099,938.290367228969,0.130881089779813,514.427205963226,319.185813604723,348.105726241947,286178.562004835,2186553.93599095,635.0
101.8,23.2,7199.07549046993,940.194172377045,0.130599293426172,515.830589330786,319.814132135441,348.812037951884,286759.222574999,2195718.02459333,679.0
101.8,23.2,7199.07549046993,940.194172377045,0.130599293426172,515.830589330786,319.814132135441,348.812037951884,286759.222574999,2195718.02459333,632.0
216.5,24.3,32454.8185538765,4358.56051042956,0.134296252594793,2758.72144157336,680.15480950219,1970.06935071416,2833064.33177922,21095632.0600197,3568.0
318.5,24.2,69634.2003879888,10038.356452916,0.14415842211132,5047.99706111618,1000.59726016835,3362.84941172685,9586630.41253475,66500661.3705293,6901.0
216.5,38.2,32454.8185538765,4358.56051042956,0.134296252594793,3209.84341947224,680.15480950219,1970.06935071416,2833064.33177922,21095632.0600197,4200.0
318.3,52.2,69540.6877410621,10031.8407897524,0.144258578907163,6990.6905646505,999.968941637631,3360.66666456706,9580407.95421356,66411356.7927143,9297.0
101.9,23.2,7214.1221484843,941.146074951081,0.130458849403987,516.532827651687,320.1282914008,349.165193806851,287049.55286008,2200307.25528771,649.0
101.8,23.2,7199.07549046993,940.194172377045,0.130599293426172,515.830589330786,319.814132135441,348.812037951884,286759.222574999,2195718.02459333,682.0
216.4,24.3,32422.895260127,4356.48391768554,0.134364432378223,2757.00708561495,679.840650236831,1969.13073079386,2827358.06257791,21042459.0238224,3568.0
318.3,24.2,69540.6877410621,10031.8407897524,0.144258578907163,5043.55130790076,999.968941637631,3360.66666456706,9580407.95421356,66411356.7927143,6565.0
216.4,38.2,32422.895260127,4356.48391768554,0.134364432378223,3207.68532973072,679.840650236831,1969.13073079386,2827358.06257791,21042459.0238224,4023.0
318.5,52.2,69634.2003879888,10038.356452916,0.14415842211132,6997.75467197986,1000.59726016835,3362.84941172685,9586630.41253475,66500661.3705293,8289.0
108.0,28.6,7697.68739945839,1463.19677840945,0.190082644628099,819.537787932155,339.292006587698,599.383928307645,351167.226818267,1847444.97587001,1244.6
108.0,28.6,7697.68739945839,1463.19677840945,0.190082644628099,819.537787932155,339.292006587698,599.383928307645,351167.226818267,1847444.97587001,1234.8
108.0,28.6,7697.68739945839,1463.19677840945,0.190082644628099,819.537787932155,339.292006587698,599.383928307645,417011.081846692,2193840.90884564,1254.4
108.0,28.6,7697.68739945839,1463.19677840945,0.190082644628099,819.537787932155,339.292006587698,599.383928307645,424327.065738739,2232329.34584293,1225.0
108.0,28.6,7697.68739945839,1463.19677840945,0.190082644628099,819.537787932155,339.292006587698,599.383928307645,497486.904659212,2617213.71581585,1161.3
108.0,28.6,7697.68739945839,1463.19677840945,0.190082644628099,819.537787932155,339.292006587698,599.383928307645,556014.775795589,2925121.21179419,1166.2
108.0,28.6,7697.68739945839,1463.19677840945,0.190082644628099,819.537787932155,339.292006587698,599.383928307645,556014.775795589,2925121.21179419,1210.3
108.0,28.6,7697.68739945839,1463.19677840945,0.190082644628099,819.537787932155,339.292006587698,599.383928307645,585278.711363778,3079074.95978336,1871.8
114.3,32.68,9093.15144025644,1167.67501146789,0.128412577217009,632.67225011265,359.084040305313,335.508061045069,400512.528933486,3118950.94400796,737.0
114.3,88.78,9093.15144025644,1167.67501146789,0.128412577217009,1142.79804591104,359.084040305313,335.508061045069,400512.528933486,3118950.94400796,1136.2
114.3,105.45,9093.15144025644,1167.67501146789,0.128412577217009,1294.38088042011,359.084040305313,335.508061045069,400512.528933486,3118950.94400796,1453.1
114.3,32.68,8219.41954542168,2041.40690630265,0.248363877159639,968.711129260874,359.084040305313,700.100498516494,700202.568861809,2819260.90407964,1075.4
114.3,58.68,8219.41954542168,2041.40690630265,0.248363877159639,1182.41603744184,359.084040305313,700.100498516494,700202.568861809,2819260.90407964,1329.1
114.3,73.3,8219.41954542168,2041.40690630265,0.248363877159639,1302.5839511959,359.084040305313,700.100498516494,700202.568861809,2819260.90407964,1361.6
219.0,41.9,34451.5796586604,3216.90165604459,0.0933745763740597,2569.43676731348,688.008791136165,1125.91557961561,2090986.07642898,22393526.7781293,3400.0
219.0,41.9,34491.0694783161,3177.41183638896,0.0921227403048938,2557.26995387758,688.008791136165,1112.09414273614,2065317.69365282,22419195.1609054,3350.0
